ProductName,RetailSPrice,TotalQtySold,UniqueDates,DaysUsed
EGG 30 PCS,330.0,7.0,"[Timestamp('2020-10-05 00:00:00'), Timestamp('2020-10-06 00:00:00'), Timestamp('2020-10-09 00:00:00'), Timestamp('2020-10-15 00:00:00'), Timestamp('2020-10-18 00:00:00'), Timestamp('2020-10-19 00:00:00')]",15
EGG 30 PCS,340.0,11.0,"[Timestamp('2020-09-02 00:00:00'), Timestamp('2020-09-03 00:00:00'), Timestamp('2020-09-06 00:00:00'), Timestamp('2020-09-07 00:00:00'), Timestamp('2020-09-13 00:00:00'), Timestamp('2020-09-14 00:00:00'), Timestamp('2020-09-20 00:00:00'), Timestamp('2020-09-26 00:00:00'), Timestamp('2020-09-29 00:00:00')]",28
EGG 30 PCS,350.0,8.0,"[Timestamp('2020-08-19 00:00:00'), Timestamp('2020-08-29 00:00:00'), Timestamp('2020-08-31 00:00:00'), Timestamp('2020-09-01 00:00:00')]",14
EGG 30 PCS,375.0,8.0,"[Timestamp('2020-08-03 00:00:00'), Timestamp('2020-08-07 00:00:00'), Timestamp('2020-08-19 00:00:00'), Timestamp('2020-08-30 00:00:00')]",28
EGG 30 PCS,380.0,19.0,"[Timestamp('2021-04-23 00:00:00'), Timestamp('2021-04-24 00:00:00'), Timestamp('2021-04-28 00:00:00'), Timestamp('2021-05-04 00:00:00'), Timestamp('2021-05-05 00:00:00'), Timestamp('2021-05-07 00:00:00'), Timestamp('2021-05-08 00:00:00'), Timestamp('2021-05-11 00:00:00'), Timestamp('2021-05-14 00:00:00'), Timestamp('2021-05-15 00:00:00'), Timestamp('2021-05-16 00:00:00')]",24
EGG 30 PCS,390.0,7.0,"[Timestamp('2021-04-10 00:00:00'), Timestamp('2021-04-11 00:00:00'), Timestamp('2021-04-12 00:00:00'), Timestamp('2021-04-18 00:00:00'), Timestamp('2021-04-19 00:00:00')]",10
EGG 30 PCS,395.0,24.0,"[Timestamp('2020-07-17 00:00:00'), Timestamp('2020-07-21 00:00:00'), Timestamp('2020-07-23 00:00:00'), Timestamp('2020-07-24 00:00:00'), Timestamp('2020-07-25 00:00:00'), Timestamp('2020-07-26 00:00:00'), Timestamp('2020-07-31 00:00:00'), Timestamp('2020-08-01 00:00:00'), Timestamp('2020-08-03 00:00:00'), Timestamp('2020-08-06 00:00:00'), Timestamp('2020-08-12 00:00:00'), Timestamp('2020-08-16 00:00:00'), Timestamp('2020-08-18 00:00:00'), Timestamp('2021-07-23 00:00:00')]",34
EGG 30 PCS,400.0,31.0,"[Timestamp('2021-06-11 00:00:00'), Timestamp('2021-06-16 00:00:00'), Timestamp('2021-06-18 00:00:00'), Timestamp('2021-06-21 00:00:00'), Timestamp('2021-06-23 00:00:00'), Timestamp('2021-06-27 00:00:00'), Timestamp('2021-06-28 00:00:00'), Timestamp('2021-07-01 00:00:00'), Timestamp('2021-07-06 00:00:00'), Timestamp('2021-07-07 00:00:00'), Timestamp('2021-07-08 00:00:00'), Timestamp('2021-07-10 00:00:00'), Timestamp('2021-07-13 00:00:00'), Timestamp('2022-03-04 00:00:00'), Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-07 00:00:00')]",37
EGG 30 PCS,405.0,18.0,"[Timestamp('2020-12-23 00:00:00'), Timestamp('2020-12-26 00:00:00'), Timestamp('2020-12-28 00:00:00'), Timestamp('2021-03-06 00:00:00'), Timestamp('2021-03-08 00:00:00'), Timestamp('2021-03-09 00:00:00'), Timestamp('2021-03-10 00:00:00'), Timestamp('2021-03-16 00:00:00'), Timestamp('2021-03-17 00:00:00'), Timestamp('2021-03-21 00:00:00'), Timestamp('2021-03-22 00:00:00'), Timestamp('2021-03-23 00:00:00'), Timestamp('2021-03-25 00:00:00'), Timestamp('2021-03-26 00:00:00'), Timestamp('2021-04-03 00:00:00'), Timestamp('2021-04-09 00:00:00')]",41
EGG 30 PCS,410.0,2.0,"[Timestamp('2021-07-21 00:00:00'), Timestamp('2021-07-22 00:00:00')]",2
EGG 30 PCS,415.0,8.0,"[Timestamp('2021-02-14 00:00:00'), Timestamp('2021-02-15 00:00:00'), Timestamp('2021-02-18 00:00:00'), Timestamp('2021-02-19 00:00:00'), Timestamp('2021-02-20 00:00:00'), Timestamp('2021-02-22 00:00:00')]",9
